ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total_Reads	Mean_Abundance	Max_Abundance	N_Samples
ASV5884	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA	11	1	11	1
ASV5668	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Thomasclavelia	NA	10	0.9090909090909091	10	1
ASV5967	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	NA	10	0.9090909090909091	10	1
ASV5985	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	NA	10	0.9090909090909091	10	1
ASV6014	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella	NA	10	0.9090909090909091	10	1
ASV5883	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	9	0.8181818181818182	9	1
ASV5966	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA	9	0.8181818181818182	9	1
ASV6035	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	NA	9	0.8181818181818182	9	1
ASV6131	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	9	0.8181818181818182	9	1
ASV5692	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	8	0.7272727272727273	8	1
ASV5864	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	8	0.7272727272727273	8	1
ASV5984	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	8	0.7272727272727273	8	1
ASV6030	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus	NA	8	0.7272727272727273	8	1
ASV6033	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA	8	0.7272727272727273	8	1
ASV6034	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	8	0.7272727272727273	8	1
ASV6068	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA	8	0.7272727272727273	8	1
ASV6089	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Thermomonas	NA	8	0.7272727272727273	8	1
ASV6090	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	8	0.7272727272727273	8	1
ASV6132	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	NA	NA	8	0.7272727272727273	8	1
ASV6013	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	NA	7	0.6363636363636364	7	1
ASV6066	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus	NA	7	0.6363636363636364	7	1
ASV6088	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	NA	7	0.6363636363636364	7	1
ASV5353	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Sandaracinus	NA	6	0.5454545454545454	6	1
ASV5906	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA	6	0.5454545454545454	6	1
ASV6031	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA	6	0.5454545454545454	6	1
ASV6173	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	NA	6	0.5454545454545454	6	1
ASV6176	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	NA	6	0.5454545454545454	6	1
ASV6015	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA	5	0.45454545454545453	5	1
ASV6050	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA	5	0.45454545454545453	5	1
ASV6067	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	5	0.45454545454545453	5	1
ASV6109	Bacteria	Actinomycetota	MB-A2-108	NA	NA	NA	NA	5	0.45454545454545453	5	1
ASV6172	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA	5	0.45454545454545453	5	1
ASV6201	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	5	0.45454545454545453	5	1
ASV6206	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	5	0.45454545454545453	5	1
ASV6211	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA	5	0.45454545454545453	5	1
ASV6152	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	NA	4	0.36363636363636365	4	1
ASV6171	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Spirosoma	NA	4	0.36363636363636365	4	1
ASV6208	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	NA	4	0.36363636363636365	4	1
ASV6242	Bacteria	Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera	NA	4	0.36363636363636365	4	1
ASV6245	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA	NA	4	0.36363636363636365	4	1
ASV6271	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Williamsia	NA	4	0.36363636363636365	4	1
ASV6101	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA	3	0.2727272727272727	3	1
ASV6105	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	3	0.2727272727272727	3	1
ASV6168	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	NA	NA	3	0.2727272727272727	3	1
ASV6174	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	3	0.2727272727272727	3	1
ASV6175	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	edouardi	3	0.2727272727272727	3	1
ASV6197	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	NA	3	0.2727272727272727	3	1
ASV6200	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Shouchella	NA	3	0.2727272727272727	3	1
ASV6202	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Galbibacter	NA	3	0.2727272727272727	3	1
ASV6203	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	3	0.2727272727272727	3	1
ASV6207	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	NA	3	0.2727272727272727	3	1
ASV6209	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	formosensis	3	0.2727272727272727	3	1
ASV6243	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	3	0.2727272727272727	3	1
ASV6274	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Bradyrhizobium	canariense	3	0.2727272727272727	3	1
ASV6278	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Pseudolabrys	NA	3	0.2727272727272727	3	1
ASV6279	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Edaphobacter	NA	3	0.2727272727272727	3	1
ASV6281	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA	3	0.2727272727272727	3	1
ASV6282	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA	3	0.2727272727272727	3	1
ASV6283	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	NA	3	0.2727272727272727	3	1
ASV6313	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	NA	3	0.2727272727272727	3	1
ASV6008	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	2	0.18181818181818182	2	1
ASV6143	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Rickettsiella	tipulae	2	0.18181818181818182	2	1
ASV6165	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	NA	2	0.18181818181818182	2	1
ASV6198	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	NA	2	0.18181818181818182	2	1
ASV6199	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Lawsonella	NA	2	0.18181818181818182	2	1
ASV6244	Bacteria	Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Nitriliruptor	NA	2	0.18181818181818182	2	1
ASV6270	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA	2	0.18181818181818182	2	1
ASV6272	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	NA	2	0.18181818181818182	2	1
ASV6273	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	2	0.18181818181818182	2	1
ASV6275	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	2	0.18181818181818182	2	1
ASV6276	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tautonia	NA	2	0.18181818181818182	2	1
ASV6277	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	NA	NA	2	0.18181818181818182	2	1
ASV6314	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinicoccus	NA	2	0.18181818181818182	2	1
ASV6315	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	2	0.18181818181818182	2	1
ASV6316	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	NA	NA	2	0.18181818181818182	2	1
ASV6348	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	NA	2	0.18181818181818182	2	1
ASV6128	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	1	0.09090909090909091	1	1
ASV6151	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA	1	0.09090909090909091	1	1
ASV6310	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA	1	0.09090909090909091	1	1
ASV6311	Bacteria	Armatimonadota	NA	NA	NA	NA	NA	1	0.09090909090909091	1	1
ASV6312	Bacteria	Chloroflexota	KD4-96	NA	NA	NA	NA	1	0.09090909090909091	1	1
ASV6345	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	NA	1	0.09090909090909091	1	1
ASV6350	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Robbsia	NA	1	0.09090909090909091	1	1
ASV6351	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	NA	1	0.09090909090909091	1	1
ASV6354	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	1	0.09090909090909091	1	1
ASV6360	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Azorhizobium	NA	1	0.09090909090909091	1	1
ASV6369	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	1	0.09090909090909091	1	1
ASV6370	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA	1	0.09090909090909091	1	1
